phantom,TR,TE,CNR_WM_GM,noise_std_est,J
0,300,70,0.114628176220018,0.020090748519962832,-0.26937182377998203
0,300,75,0.05049102504038841,0.020027497936141773,-0.3335089749596116
0,300,80,0.001479959436809953,0.020002766894542647,-0.38252004056319006
0,300,85,0.025777649463108065,0.020069395029869357,-0.35822235053689194
0,300,90,0.07378044879862324,0.019923879021101334,-0.3102195512013768
0,300,95,0.11183719645763354,0.020165647203443316,-0.27216280354236644
0,300,100,0.14085307296839278,0.020167149917642745,-0.24314692703160723
0,300,105,0.17066515023079895,0.01990988522273675,-0.21333484976920106
0,300,110,0.18091339115966776,0.019828303568160555,-0.20308660884033225
0,300,115,0.21418592844303347,0.020000911062217873,-0.16981407155696654
0,300,120,0.2173560000312527,0.01993049434979108,-0.16664399996874732
0,300,125,0.23104061377956678,0.019944162734515738,-0.15295938622043323
0,300,130,0.26107125624080774,0.020117009530617527,-0.12292874375919227
0,300,135,0.253425194727528,0.020197762820659326,-0.130574805272472
0,300,140,0.2924266311179369,0.020011675006888403,-0.09157336888206313
0,300,145,0.27937852439157634,0.019894072446193463,-0.10462147560842366
0,300,150,0.258377408045264,0.019905121370453874,-0.12562259195473602
0,300,155,0.3097760828758501,0.019922322813105936,-0.07422391712414989
0,300,160,0.28350700588413247,0.019979030252396564,-0.10049299411586754
0,300,165,0.2930273546766036,0.019828973996412102,-0.09097264532339638
0,300,170,0.2794776599878851,0.02004600895310241,-0.10452234001211491
0,300,175,0.2937200684829131,0.019970077264647897,-0.09027993151708691
0,300,180,0.3022294411903799,0.019982223888058873,-0.08177055880962009
0,300,185,0.29525811475202723,0.019931000856309524,-0.08874188524797277
0,300,190,0.29010342922584814,0.019872147219961018,-0.09389657077415187
0,300,195,0.2501629867154836,0.020022166455174833,-0.13383701328451642
0,300,200,0.2646166569477992,0.020122355224239014,-0.11938334305220083
0,400,10,1.595533745478613,0.020095305258233487,1.083533745478613
0,400,15,1.381885846743533,0.020065557054475557,0.8698858467435331
0,400,20,1.2027947222679742,0.019937127004141898,0.6907947222679742
0,400,25,1.0178746405739065,0.01993190368267982,0.5058746405739065
0,400,30,0.8760878005675412,0.0198273303574761,0.3640878005675412
0,400,35,0.726808545572585,0.020069001649415625,0.214808545572585
0,400,40,0.5925232704762516,0.019915057485908366,0.08052327047625163
0,400,45,0.4740670608759034,0.019932959211308103,-0.03793293912409662
0,400,50,0.36926210973053325,0.020170248269264158,-0.14273789026946676
0,400,55,0.2628104951990037,0.01990319725058519,-0.24918950480099633
0,400,60,0.17529224953103426,0.020014086626690866,-0.3367077504689657
0,400,65,0.1109371966705134,0.020025489970605326,-0.40106280332948663
0,400,70,0.030740899323938094,0.02001536671185018,-0.4812591006760619
0,400,75,0.04460126809913123,0.02007543978322753,-0.4673987319008688
0,400,80,0.09370523780151516,0.020036836240451737,-0.4182947621984848
0,400,85,0.12201615221571935,0.020038298946800488,-0.38998384778428064
0,400,90,0.1856443490072237,0.020111409422045725,-0.3263556509927763
0,400,95,0.22650243481301713,0.019948277806916596,-0.2854975651869829
0,400,100,0.23244833000418536,0.02009353224056474,-0.27955166999581466
0,400,105,0.3018688674345132,0.020047556236001376,-0.21013113256548682
0,400,110,0.29975639748029836,0.02012958615686122,-0.21224360251970165
0,400,115,0.3145859201248912,0.019972583078812736,-0.19741407987510878
0,400,120,0.33612447196502443,0.01996481809025477,-0.17587552803497558
0,400,125,0.35969519211513484,0.01999800196356157,-0.15230480788486517
0,400,130,0.35927777063389754,0.01992752457382163,-0.15272222936610247
0,400,135,0.3714496183578916,0.020019459737940712,-0.14055038164210842
0,400,140,0.40357759084252476,0.020036465106044742,-0.10842240915747525
0,400,145,0.41099946448875807,0.019880239442305356,-0.10100053551124194
0,400,150,0.3916691526336716,0.019954581398318617,-0.12033084736632843
0,400,155,0.40823534169268816,0.02015816028517926,-0.10376465830731185
0,400,160,0.40978794539145086,0.02010194641628445,-0.10221205460854915
0,400,165,0.3986813749800863,0.020005927326610405,-0.11331862501991369
0,400,170,0.392067663441991,0.020069822986328856,-0.119932336558009
0,400,175,0.40821970151476683,0.019976816034986685,-0.10378029848523318
0,400,180,0.40304961678515566,0.019960772741357623,-0.10895038321484435
0,400,185,0.3701284301730997,0.02009859848640775,-0.1418715698269003
0,400,190,0.38730459455894795,0.0200366650965008,-0.12469540544105207
0,400,195,0.37906217111296236,0.019948646961683327,-0.13293782888703765
0,400,200,0.376663200377321,0.019916578298773704,-0.13533679962267903
0,500,10,1.7296203383069089,0.019804373453326137,1.0896203383069087
0,500,15,1.4622829442543868,0.0199391395863783,0.8222829442543867
0,500,20,1.2057520814965343,0.019989289294211614,0.5657520814965343
0,500,25,1.0516187736575016,0.019948652651171316,0.41161877365750155
0,500,30,0.8510960906892721,0.01995638088300087,0.21109609068927204
0,500,35,0.7095695492129183,0.019976390267017367,0.06956954921291825
0,500,40,0.5506233327220246,0.020141902737243395,-0.08937666727797544
0,500,45,0.4166380393252278,0.020026718415640844,-0.2233619606747722
0,500,50,0.28572496899390387,0.019980450690442898,-0.35427503100609614
0,500,55,0.16830475215503676,0.019904342633808234,-0.47169524784496325
0,500,60,0.08115841348795594,0.020106851892047372,-0.5588415865120441
0,500,65,0.000523416071157917,0.020090653453897545,-0.6394765839288421
0,500,70,0.07915870457125651,0.020022907630842534,-0.5608412954287435
0,500,75,0.12557568715325199,0.01997838817505059,-0.514424312846748
0,500,80,0.18560121353057307,0.019872686748735647,-0.45439878646942694
0,500,85,0.2741361101757503,0.020092522191358216,-0.3658638898242497
0,500,90,0.30039613076749583,0.020025572235949165,-0.3396038692325042
0,500,95,0.35143247768872893,0.02000801851472516,-0.2885675223112711
0,500,100,0.3821899075042399,0.01989025409458597,-0.2578100924957601
0,500,105,0.4088722636800585,0.020012796897551893,-0.2311277363199415
0,500,110,0.44737633493481993,0.01999127744324145,-0.19262366506518008
0,500,115,0.4515674825209503,0.019959381032570063,-0.1884325174790497
0,500,120,0.4803271882583028,0.020005462017081747,-0.15967281174169723
0,500,125,0.5019904527030749,0.020071836370942172,-0.13800954729692516
0,500,130,0.49194958588862314,0.019901431753348797,-0.14805041411137687
0,500,135,0.5132198062304961,0.020139149601449958,-0.1267801937695039
0,500,140,0.531708032434444,0.01994059305206887,-0.10829196756555604
0,500,145,0.5275783226069425,0.019822580351164902,-0.11242167739305753
0,500,150,0.5354453695647999,0.01999130176131097,-0.10455463043520008
0,500,155,0.5329332674791869,0.019866317770162466,-0.10706673252081311
0,500,160,0.5174463976952633,0.02003623696087726,-0.12255360230473666
0,500,165,0.5094368941058068,0.01999719149173145,-0.13056310589419318
0,500,170,0.5059231927819076,0.02002982642436786,-0.13407680721809245
0,500,175,0.5121882654930215,0.01995589040550556,-0.12781173450697847
0,500,180,0.5082827694938585,0.02003545916941388,-0.13171723050614148
0,500,185,0.5031875662446683,0.02013503609688049,-0.1368124337553317
0,500,190,0.49032274236740864,0.0201141159370236,-0.14967725763259138
0,500,195,0.4919733971321554,0.019962590631593002,-0.14802660286784464
0,500,200,0.48576747658637276,0.020026735313183167,-0.15423252341362725
0,600,10,1.6694553345556336,0.019967700618552586,0.9014553345556335
0,600,15,1.4315119813640336,0.01990035126565687,0.6635119813640336
0,600,20,1.211254984385039,0.020028542623653812,0.4432549843850391
0,600,25,0.9710290420211625,0.020057146377702024,0.20302904202116245
0,600,30,0.775008741109704,0.01994975865021556,0.007008741109703953
0,600,35,0.6086705373664181,0.0199779064048248,-0.15932946263358194
0,600,40,0.4213733213261513,0.020149578316591588,-0.3466266786738487
0,600,45,0.28537054056937067,0.020085656431875994,-0.48262945943062935
0,600,50,0.17988769699883397,0.019896553078040797,-0.588112303001166
0,600,55,0.05472787533754628,0.020083926898763767,-0.7132721246624537
0,600,60,0.0365813553361812,0.019949535718559834,-0.7314186446638188
0,600,65,0.13499104029108577,0.020049658849615404,-0.6330089597089142
0,600,70,0.20491645910042078,0.020068846063142916,-0.5630835408995792
0,600,75,0.3042585168532809,0.020065460770441076,-0.4637414831467191
0,600,80,0.34835450956274894,0.020000674952964682,-0.4196454904372511
0,600,85,0.4059758343890728,0.01995580819097634,-0.3620241656109272
0,600,90,0.44822156178528433,0.019929254028722174,-0.3197784382147157
0,600,95,0.49779485127494255,0.02000404793303863,-0.27020514872505746
