TR,TE,CNR_WM_GM,CNR_GM_CSF,CNR_WM_CSF
600,10,1.4135739779217726,7.3135642573500315,8.727138235271804
600,15,1.1593952688002367,6.637519194798509,7.796914463598746
600,20,0.9288093209391279,5.995245913958937,6.924055234898065
600,25,0.7199871510977618,5.385095346414261,6.105082497512022
600,30,0.5312300757917332,4.805498854754858,5.336728930546592
600,35,0.36096086642467967,4.254964309899606,4.615925176324286
600,40,0.20771548665535627,3.7320723597282113,3.9397878463835676
600,45,0.07013537446354245,3.235472879694544,3.3056082541580865
600,50,0.05303976623724643,2.7638815965456542,2.710841830308408
600,55,0.16297869735756865,2.3160768767039515,2.1530981793463826
600,60,0.26076493258361116,1.8908966712818762,1.630131738698265
600,65,0.34740260638340265,1.4872356100900084,1.1398330037066056
600,70,0.423821953089637,1.1040422373720937,0.6802202842824567
600,75,0.49088442135808846,0.7403163823548816,0.2494319609967932
600,80,0.5493874476861296,0.39510665803781514,0.1542807896483145
600,85,0.6000689111631388,0.06750808196819835,0.5325608291949404
600,90,0.643611290207486,0.24334018694743137,0.8869514771549174
600,95,0.6806455407168323,0.538257001254891,1.2189025419717232
600,100,0.7117547138148147,0.8180212727700538,1.5297759865848686
600,105,0.7374773302117728,1.0833739205232582,1.820851250735031
600,110,0.7583105271056462,1.3350197237013535,2.0933302508069995
600,115,0.7747129925267764,1.5736290842206055,2.348342076747382
600,120,0.7871077010725077,1.7998397033379436,2.5869474044104517
600,125,0.7958844640805867,2.014258176492831,2.8101426405734173
600,130,0.801402306450099,2.217461510367776,3.018863816817875
600,135,0.8039916815319805,2.409998565960901,3.2139902474928816
600,140,0.8039565347742205,2.5923914312789718,3.3963479660531926
600,145,0.8015762261168676,2.7651367270834255,3.5667129532002932
600,150,0.7971073204858503,2.9287068489543073,3.725814169440157
600,155,0.7907852551295613,3.083551148778082,3.8743364039076433
600,160,0.7828258919757396,3.230097058613516,4.012922950589255
600,165,0.7734269626557866,3.368751159745989,4.142178122401775
600,170,0.7627694133471488,3.4999001996033394,4.262669612950488
600,175,0.7510186561195648,3.6239120590761535,4.374930715195719
600,180,0.7383257330358544,3.7411366726612165,4.479462405697071
600,185,0.7248283988506663,3.851906903729052,4.576735302579719
600,190,0.7106521277693296,3.95653937710409,4.667191504873419
600,195,0.6959110493721894,4.055335271039414,4.751246320411603
600,200,0.6807088184759018,4.148581070566422,4.8292898890423235
700,10,1.3113481828338713,8.050950228684924,9.362298411518795
700,15,1.0421569738490204,7.290019639342872,8.332176613191892
700,20,0.7985023186606877,6.567122901921034,7.365625220581721
700,25,0.5783870255435364,5.880402779381331,6.4587898049248675
700,30,0.3799568537555642,5.228092618958173,5.608049472713737
700,35,0.2014907821956749,4.608511934296945,4.81000271649262
700,40,0.04139191985650936,4.020062203054287,4.061454122910797
700,45,0.10182098335778933,3.461222869451755,3.3594018860939654
700,50,0.22952146424498332,2.9305475417873232,2.70102607754234
700,55,0.3429827486767595,2.426660375396503,2.083677626719743
700,60,0.4433846627434443,1.9482526320185225,1.5048679692750782
700,65,0.53182008451782,1.4940794069642327,0.9622593224464127
700,70,0.6093009662533996,1.062956515901975,0.4536555496485753
700,75,0.6767639549292492,0.6537575334767315,0.023006421452517745
700,80,0.7350756372704617,0.2654109763575427,0.46966466091291903
700,85,0.785037433702776,0.10310237633064517,0.8881398100334211
700,90,0.8273901641347142,0.4527520318909975,1.2801421960257118
700,95,0.8628183069944062,0.7844602086282417,1.647278515622648
700,100,0.8919539715747944,1.0991041421742536,1.991058113749048
700,105,0.9153806024542063,1.3975182793327559,2.3128988817869622
700,110,0.9336364335541781,1.6804963649289337,2.6141327984831118
700,115,0.9472177082674768,1.948793426882161,2.896011135149638
700,120,0.9565816810321336,2.2031276644655415,3.159709345497675
700,125,0.9621494147368882,2.4441822444739096,3.4063316592107977
700,130,0.9643083874162545,2.6726070097916645,3.6369153972079187
700,135,0.9634149208248427,2.8890201046327197,3.852435025457562
700,140,0.95979644266736,3.094009520516534,4.053805963183894
700,145,0.9537535934992202,3.288134566845977,4.241888160345197
700,150,0.9455621885996024,3.471927269764213,4.417489458363816
700,155,0.9354750444512169,3.645893702788521,4.581368747239738
700,160,0.9237236788360047,3.8105152525482766,4.734238931384281
700,165,0.9105198929708239,3.9662498227921485,4.876769715762973
700,170,0.8960572435593686,4.113532979675137,5.009590223234506
700,175,0.8805124121238544,4.252779041189261,5.133291453313116
700,180,0.8640464784999728,4.384382113462052,5.248428591962025
700,185,0.8468061049293911,4.50871707651416,5.3555231814435516
700,190,0.828924636763647,4.6261405219409255,5.455065158704573
700,195,0.8105231253997663,4.736991644862676,5.547514770262443
700,200,0.7917112786997315,4.841593092374061,5.633304371073793
800,10,1.1541543594804915,8.681566967695048,9.83572132717554
800,15,0.8748510680052751,7.842165956423003,8.717017024428278
800,20,0.6226546482243495,7.044744982925165,7.6673996311495145
800,25,0.3954260621389205,6.287254054934799,6.682680117073719
800,30,0.19118009461998875,5.567743165983812,5.7589232606038
800,35,0.008074852279263411,4.884357419021608,4.892432271300871
800,40,0.15559804380755327,4.2353323878578975,4.079734344050344
800,45,0.30142261637370327,3.618989704830597,3.3175670884568937
800,50,0.4308670832249645,3.033732863665822,2.6028657804408577
800,55,0.5452918408133389,2.478043227034786,1.9327513862214472
800,60,0.6459569169343801,1.9504762288245296,1.3045193118901497
800,65,0.7340289270130403,1.4496577616261246,0.7156288346130842
800,70,0.810587566242675,0.9742807404071782,0.16369317416450313
800,75,0.8766316677803726,0.5231018337760518,0.3535298340043208
800,80,0.9330848552702011,0.09493835466428957,0.8381465006059116
800,85,0.9808008161565309,0.311334697347794,1.2921355135043249
800,90,1.02056822055452,0.6967874494579043,1.7173556700124242
800,95,1.0531153088568028,1.0624378318561654,2.115553140712968
800,100,1.0791141697680342,1.409254123418882,2.488368293186916
800,105,1.099184729065547,1.7381573732473898,2.837342102312937
800,110,1.1138984680794681,2.0500237041069416,3.16392217218641
800,115,1.1237818896632015,2.345686503525594,3.4694683931887953
800,120,1.1293197482805544,2.6259385080318443,3.7552582563123984
800,125,1.1309580597636821,2.891533785742785,4.022491845506467
800,130,1.1291069052920126,3.1431896222602442,4.272296527552257
800,135,1.124143043202229,3.3815883145906693,4.505731357792898
800,140,1.1164123413590874,3.6073788775744275,4.723791218933515
800,145,1.1062320419925302,3.82117866709156,4.92741070908409
800,150,1.0938928701348591,4.023574924102811,5.11746779423767
800,155,1.0796609960691996,4.21512624338686,5.294787239456059
800,160,1.0637798615240885,4.396363970646318,5.460143832170407
800,165,1.0464718787158056,4.567793531476071,5.6142654101918765
800,170,1.0279400107473462,4.729895695517003,5.757835706264349
800,175,1.0083692413181615,4.883127778956181,5.891497020274343
800,180,0.9879279411794971,5.027924788380392,6.015852729559889
800,185,0.9667691382841869,5.1647005088432225,6.13146964712741
800,190,0.9450316981249665,5.293848538866475,6.238880236991441
800,195,0.9228414203297376,5.415743274963883,6.338584695293621
800,200,0.9003120571839804,5.530740848149064,6.431052905333044
900,10,0.9530032461487814,9.2146077330945,10.167610979243282
900,15,0.6677049361434262,8.30267322088114,8.970378157024564
900,20,0.4107634714846736,7.43637244370962,7.847135915194293
900,25,0.17992083460343367,6.61347692626586,6.7933977608692935
900,30,0.026917851386634717,5.831866884479786,5.804949033093151
900,35,0.21169549122309617,5.089525924572781,4.8778304333496845
900,40,0.37621344672340296,4.38453600063569,4.008322553912287
900,45,0.522141274555521,3.715072618128691,3.19293134357317
900,50,0.6510258173496014,3.079400271309257,2.428374453959656
900,55,0.7642996900940613,2.475868103179493,1.7115684130854318
900,60,0.8632892010832782,1.9029057771002986,1.0396165760170204
900,65,0.9492217441767855,1.3590195497493907,0.4097978055726051
900,70,1.0232326967807959,0.842788535603442,0.18044416117735385
900,75,1.0863718557618918,0.3528611536036286,0.7335107021582632
900,80,1.1396094414409128,0.11204825288061854,1.2516576943215312
900,85,1.1838416978835322,0.5531626312415119,1.737004329125044
900,90,1.2198961158944934,0.9716452780160658,2.1915413939105592
900,95,1.248536303427651,1.3686027481101593,2.6171390515378103
